id,dia,reef,site,transect,observer,team,night,depth,hc,habitat
5,-999,Rudder,1,3,AC/KO,0,1,2,35,crest
12,30,Rudder,1,3,AC/KO,0,1,2,35,crest
17,-999,Rudder,1,3,AC/KO,0,1,2,35,crest
51,-999,Rudder,1,3,AC/KO,0,1,2,35,crest
56,-999,Rudder,1,3,AC/KO,0,1,2,35,crest
62,-999,Rudder,1,3,AC/KO,0,1,2,35,crest
64,28,Rudder,1,3,AC/KO,0,1,2,35,crest
91,-999,Rudder,1,3,AC/KO,0,1,2,35,crest
92,35,Rudder,1,3,AC/KO,0,1,2,35,crest
93,30,Rudder,1,3,AC/KO,0,1,2,35,crest
94,30,Rudder,1,3,AC/KO,0,1,2,35,crest
95,30,Rudder,1,3,AC/KO,0,1,2,35,crest
96,35,Rudder,1,3,AC/KO,0,1,2,35,crest
97,35,Rudder,1,3,AC/KO,0,1,2,35,crest
98,40,Rudder,1,3,AC/KO,0,1,2,35,crest
99,35,Rudder,1,3,AC/KO,0,1,2,35,crest
108,-999,Rudder,1,3,AC/KO,0,1,2,35,crest
109,-999,Rudder,1,3,AC/KO,0,1,2,35,crest
2,-999,Rudder,1,6,AC/KO,0,0,2,35,crest
12,30,Rudder,1,6,AC/KO,0,0,2,35,crest
51,-999,Rudder,1,6,AC/KO,0,0,2,35,crest
62,-999,Rudder,1,6,AC/KO,0,0,2,35,crest
63,-999,Rudder,1,6,AC/KO,0,0,2,35,crest
64,28,Rudder,1,6,AC/KO,0,0,2,35,crest
65,15,Rudder,1,6,AC/KO,0,0,2,35,crest
66,-999,Rudder,1,6,AC/KO,0,0,2,35,crest
91,-999,Rudder,1,6,AC/KO,0,0,2,35,crest
92,35,Rudder,1,6,AC/KO,0,0,2,35,crest
93,30,Rudder,1,6,AC/KO,0,0,2,35,crest
94,30,Rudder,1,6,AC/KO,0,0,2,35,crest
95,30,Rudder,1,6,AC/KO,0,0,2,35,crest
95,30,Rudder,1,6,AC/KO,0,0,2,35,crest
96,35,Rudder,1,6,AC/KO,0,0,2,35,crest
97,35,Rudder,1,6,AC/KO,0,0,2,35,crest
98,40,Rudder,1,6,AC/KO,0,0,2,35,crest
99,35,Rudder,1,6,AC/KO,0,0,2,35,crest
108,-999,Rudder,1,6,AC/KO,0,0,2,35,crest
71,25,Rudder,2,1,AC/KO,0,0,2,14,crest
72,25,Rudder,2,1,AC/KO,0,0,2,14,crest
73,30,Rudder,2,1,AC/KO,0,0,2,14,crest
74,27,Rudder,2,1,AC/KO,0,0,2,14,crest
75,25,Rudder,2,1,AC/KO,0,0,2,14,crest
76,27,Rudder,2,1,AC/KO,0,0,2,14,crest
77,28,Rudder,2,1,AC/KO,0,0,2,14,crest
78,28,Rudder,2,1,AC/KO,0,0,2,14,crest
79,30,Rudder,2,1,AC/KO,0,0,2,14,crest
61,35,Rudder,2,4,AC/KO,0,0,2,14,crest
71,25,Rudder,2,4,AC/KO,0,0,2,14,crest
72,25,Rudder,2,4,AC/KO,0,0,2,14,crest
73,30,Rudder,2,4,AC/KO,0,0,2,14,crest
74,27,Rudder,2,4,AC/KO,0,0,2,14,crest
75,25,Rudder,2,4,AC/KO,0,0,2,14,crest
76,27,Rudder,2,4,AC/KO,0,0,2,14,crest
77,28,Rudder,2,4,AC/KO,0,0,2,14,crest
78,28,Rudder,2,4,AC/KO,0,0,2,14,crest
79,30,Rudder,2,4,AC/KO,0,0,2,14,crest
41,35,Rudder,3,2,AC/KO,0,0,2,21,flat
42,37,Rudder,3,2,AC/KO,0,0,2,21,flat
43,48,Rudder,3,2,AC/KO,0,0,2,21,flat
44,35,Rudder,3,2,AC/KO,0,0,2,21,flat
45,40,Rudder,3,2,AC/KO,0,0,2,21,flat
46,46,Rudder,3,2,AC/KO,0,0,2,21,flat
48,38,Rudder,3,2,AC/KO,0,0,2,21,flat
49,-999,Rudder,3,2,AC/KO,0,0,2,21,flat
50,40,Rudder,3,2,AC/KO,0,0,2,21,flat
54,35,Rudder,3,2,AC/KO,0,0,2,21,flat
89,38,Rudder,3,2,AC/KO,0,0,2,21,flat
148,30,Rudder,3,2,AC/KO,0,0,2,21,flat
511,35,Rudder,3,2,AC/KO,0,0,2,21,flat
521,40,Rudder,3,2,AC/KO,0,0,2,21,flat
531,35,Rudder,3,2,AC/KO,0,0,2,21,flat
542,35,Rudder,3,2,AC/KO,0,0,2,21,flat
41,35,Rudder,3,5,AC/KO,0,0,2,21,flat
42,37,Rudder,3,5,AC/KO,0,0,2,21,flat
43,48,Rudder,3,5,AC/KO,0,0,2,21,flat
44,35,Rudder,3,5,AC/KO,0,0,2,21,flat
45,40,Rudder,3,5,AC/KO,0,0,2,21,flat
46,46,Rudder,3,5,AC/KO,0,0,2,21,flat
48,38,Rudder,3,5,AC/KO,0,0,2,21,flat
49,-999,Rudder,3,5,AC/KO,0,0,2,21,flat
50,40,Rudder,3,5,AC/KO,0,0,2,21,flat
54,35,Rudder,3,5,AC/KO,0,0,2,21,flat
89,38,Rudder,3,5,AC/KO,0,0,2,21,flat
148,30,Rudder,3,5,AC/KO,0,0,2,21,flat
511,35,Rudder,3,5,AC/KO,0,0,2,21,flat
521,40,Rudder,3,5,AC/KO,0,0,2,21,flat
531,35,Rudder,3,5,AC/KO,0,0,2,21,flat
542,35,Rudder,3,5,AC/KO,0,0,2,21,flat
36,23,Rudder,4,2,AC/KO,0,0,1,42,flat
37,40,Rudder,4,2,AC/KO,0,0,1,42,flat
40,35,Rudder,4,2,AC/KO,0,0,1,42,flat
441,32,Rudder,4,2,AC/KO,0,0,1,42,flat
442,35,Rudder,4,2,AC/KO,0,0,1,42,flat
445,30,Rudder,4,2,AC/KO,0,0,1,42,flat
446,33,Rudder,4,2,AC/KO,0,0,1,42,flat
447,32,Rudder,4,2,AC/KO,0,0,1,42,flat
448,35,Rudder,4,2,AC/KO,0,0,1,42,flat
449,33,Rudder,4,2,AC/KO,0,0,1,42,flat
450,32,Rudder,4,2,AC/KO,0,0,1,42,flat
451,32,Rudder,4,2,AC/KO,0,0,1,42,flat
452,30,Rudder,4,2,AC/KO,0,0,1,42,flat
454,32,Rudder,4,2,AC/KO,0,0,1,42,flat
460,30,Rudder,4,2,AC/KO,0,0,1,42,flat
480,-999,Rudder,4,2,AC/KO,0,0,1,42,flat
4108,30,Rudder,4,2,AC/KO,0,0,1,42,flat
36,23,Rudder,4,4,AC/KO,0,1,1,42,flat
37,40,Rudder,4,4,AC/KO,0,1,1,42,flat
38,38,Rudder,4,4,AC/KO,0,1,1,42,flat
40,35,Rudder,4,4,AC/KO,0,1,1,42,flat
105,30,Rudder,4,4,AC/KO,0,1,1,42,flat
441,32,Rudder,4,4,AC/KO,0,1,1,42,flat
442,35,Rudder,4,4,AC/KO,0,1,1,42,flat
445,30,Rudder,4,4,AC/KO,0,1,1,42,flat
447,32,Rudder,4,4,AC/KO,0,1,1,42,flat
448,35,Rudder,4,4,AC/KO,0,1,1,42,flat
449,33,Rudder,4,4,AC/KO,0,1,1,42,flat
450,32,Rudder,4,4,AC/KO,0,1,1,42,flat
454,32,Rudder,4,4,AC/KO,0,1,1,42,flat
460,30,Rudder,4,4,AC/KO,0,1,1,42,flat
488,40,Rudder,4,4,AC/KO,0,1,1,42,flat
4108,30,Rudder,4,4,AC/KO,0,1,1,42,flat
750,35,Rudder,5,3,AC/KO,0,0,2,24,flat
751,35,Rudder,5,3,AC/KO,0,0,2,24,flat
752,35,Rudder,5,3,AC/KO,0,0,2,24,flat
753,30,Rudder,5,3,AC/KO,0,0,2,24,flat
754,35,Rudder,5,3,AC/KO,0,0,2,24,flat
755,35,Rudder,5,3,AC/KO,0,0,2,24,flat
756,35,Rudder,5,3,AC/KO,0,0,2,24,flat
757,35,Rudder,5,3,AC/KO,0,0,2,24,flat
758,40,Rudder,5,3,AC/KO,0,0,2,24,flat
750,35,Rudder,5,6,AC/KO,0,0,2,24,flat
751,35,Rudder,5,6,AC/KO,0,0,2,24,flat
752,35,Rudder,5,6,AC/KO,0,0,2,24,flat
753,30,Rudder,5,6,AC/KO,0,0,2,24,flat
754,35,Rudder,5,6,AC/KO,0,0,2,24,flat
755,35,Rudder,5,6,AC/KO,0,0,2,24,flat
756,35,Rudder,5,6,AC/KO,0,0,2,24,flat
757,35,Rudder,5,6,AC/KO,0,0,2,24,flat
758,40,Rudder,5,6,AC/KO,0,0,2,24,flat
1,30,Undine,1,1,AC/KO,0,0,2,32,lagoon
2,30,Undine,1,1,AC/KO,0,0,2,32,lagoon
3,35,Undine,1,1,AC/KO,0,0,2,32,lagoon
4,35,Undine,1,1,AC/KO,0,0,2,32,lagoon
5,30,Undine,1,1,AC/KO,0,0,2,32,lagoon
6,30,Undine,1,1,AC/KO,0,0,2,32,lagoon
7,30,Undine,1,1,AC/KO,0,0,2,32,lagoon
8,25,Undine,1,1,AC/KO,0,0,2,32,lagoon
9,30,Undine,1,1,AC/KO,0,0,2,32,lagoon
10,30,Undine,1,1,AC/KO,0,0,2,32,lagoon
1,30,Undine,1,4,AC/KO,0,0,2,32,lagoon
2,30,Undine,1,4,AC/KO,0,0,2,32,lagoon
3,35,Undine,1,4,AC/KO,0,0,2,32,lagoon
4,35,Undine,1,4,AC/KO,0,0,2,32,lagoon
5,30,Undine,1,4,AC/KO,0,0,2,32,lagoon
7,30,Undine,1,4,AC/KO,0,0,2,32,lagoon
8,25,Undine,1,4,AC/KO,0,0,2,32,lagoon
9,30,Undine,1,4,AC/KO,0,0,2,32,lagoon
11,35,Undine,2,3,AC/KO,0,0,3,24,lagoon
12,35,Undine,2,3,AC/KO,0,0,3,24,lagoon
13,40,Undine,2,3,AC/KO,0,0,3,24,lagoon
14,40,Undine,2,3,AC/KO,0,0,3,24,lagoon
15,30,Undine,2,3,AC/KO,0,0,3,24,lagoon
16,35,Undine,2,3,AC/KO,0,0,3,24,lagoon
17,35,Undine,2,3,AC/KO,0,0,3,24,lagoon
11,35,Undine,2,6,AC/KO,0,0,3,24,lagoon
12,35,Undine,2,6,AC/KO,0,0,3,24,lagoon
13,40,Undine,2,6,AC/KO,0,0,3,24,lagoon
14,40,Undine,2,6,AC/KO,0,0,3,24,lagoon
15,30,Undine,2,6,AC/KO,0,0,3,24,lagoon
17,35,Undine,2,6,AC/KO,0,0,3,24,lagoon
