day,month,year,reefID,reef,site,longitue,latitude,habitat,aspect,depth,tide,macro,live_coral,rubble,sand,perc_slime,cots,perc_coral_damage
17,05,2014,16-023,Rudder,2,145.66748,-16.20780,Crest,SW,2,H,0,15,25,30,0,0,17
17,05,2014,16-023,Rudder,2,145.66731,-16.20780,Crest,SW,2,H,0,12,49,8,0,2,13
17,05,2014,16-023,Rudder,2,145.66714,-16.20782,Crest,SW,2,H,0,13,30,30,0,4,15
17,05,2014,16-023,Rudder,1,145.66362,-16.20899,Crest,SW,2,H,1,40,26,5,85,6,43
17,05,2014,16-023,Rudder,1,145.66323,-16.20903,Crest,SW,2,H,0,35,45,4,0,1,36
17,05,2014,16-023,Rudder,1,145.66302,-16.20897,Crest,SW,2,H,0,35,25,15,0,10,40
19,05,2014,16-023,Rudder,3,145.66496,-16.20733,Reef flat,SW,2,M,1,25,18,20,100,4,26
19,05,2014,16-023,Rudder,3,145.66483,-16.20745,Reef flat,SW,2,M,1,33,25,15,0,8,34
19,05,2014,16-023,Rudder,3,145.66472,-16.20757,Reef flat,SW,2,M,0,30,14,30,0,0,31
24,05,2014,16-023,Rudder,4,145.66274,-16.20912,Reef flat,SW,1,L,2,61,15,10,5,4,63
24,05,2014,16-023,Rudder,4,145.66273,-16.20897,Reef flat,SW,1,L,2,38,30,2,25,5,39
24,05,2014,16-023,Rudder,4,145.66262,-16.20883,Reef flat,SW,1,L,1,27,10,20,0,9,29
25,05,2014,16-023,Rudder,5,145.66255,-16.20918,Reef flat,SW,2,H,2,22,45,15,100,0,23
25,05,2014,16-023,Rudder,5,145.66251,-16.20899,Reef flat,SW,2,H,8,32,38,2,30,6,33
25,05,2014,16-023,Rudder,5,145.66255,-16.20884,Reef flat,SW,2,H,1,18,20,30,100,4,19
21,05,2014,16-020a,Undine,1,145.72964,-16.12586,Lagoon,NE,2,L,1,33,20,25,20,4,34
21,05,2014,16-020a,Undine,1,145.72978,-16.12597,Lagoon,NE,2,L,5,30,12,2,25,2,31
21,05,2014,16-020a,Undine,1,145.72993,-16.72606,Lagoon,NE,1,L,1,33,30,25,80,2,34
22,05,2014,16-020a,Undine,2,145.72883,-16.12496,Lagoon,NE,2,L,5,20,1,1,0,2,23
22,05,2014,16-020a,Undine,2,145.72879,-16.12513,Lagoon,NE,2,L,3,36,15,30,5,1,37
22,05,2014,16-020a,Undine,2,145.72865,-16.12519,Lagoon,NE,4,L,1,15,28,25,25,3,16
23,05,2014,16-020a,Undine,3,145.73146,-16.11871,Slope,NE,8,M,2,17,20,50,100,2,18
23,05,2014,16-020a,Undine,3,145.73136,-16.11856,Slope,NE,4,M,1,30,30,14,50,0,30
23,05,2014,16-020a,Undine,3,145.73125,-16.11841,Slope,NE,6,M,2,22,20,30,95,0,23
